Title,From,Genre,Director,Description,Region
ela cheppanu elacheppanu,Telugu,romance,Ramana,work company offer businessmanager car industry along win kill sekhars feel find sivabalaji save siva even story skill early try remain grow six graduate businessparty 'sfriend want balaji condition sekhar name heart manager revive 'sfamily friend month amars firm accidentally tarun shriya best family bad process badcondition erase party amar evidence hyderabad priyas businessskills meet go 'sheart smoothly amarvarma varma priya visit guilty iim help level engage run germany sunil helpless business introduces,South Asian
elm street elmstreet nightmare,American,horror,Samuel Bayer,appear freddykrueger funeral kellanlutz 'smother mirror police attack murder claim 'shouse deans burn actually asleep abuse revenge refuse witness wake exboyfriend sleep awake long table dreamworld sweater skip connie gloved haley 'sroom hand begin room track arrest earle favorite meet attend town hide katie still conniebritton alive deanrussell glove kruegers 'sconnection memory kris hidden run one badhampreschool remember rooneymara thomas 'sfuneral krisfowles springwooddiner kill throat intentionally inside diner would discover decide waitress suddenly burned try way pull secret want nancys lutz springwood enough claw rest photograph apprehend insomnia tell braun evidence badham know go return fred teenageyears take reality gwen thomasdekker high covered ever kylegallner stop broken fact jackieearlehaley 'sparents wear man rooney finally torch teenage fell recall scar cut kriss piece 'sex-boyfriend 'sbody leave nothing swim home burnscars adrenaline friend highschool child longer prove fall show learn day motherreturnhome scream attempt suspicion dean nancy thing practice school preschool repressed hunt space steal nancyholbrook everyones freddy slice lie krueger mother jail accept 'sthroat house company cell reluctantly result uncovers explain able jackie hospital sporadically see holbrook jesse year fear remain use quentin mancuts end smith truth happen gallner stay fowles kellan accuse come mara 'ssweater cover dream blade none cassidy gardener kyle question fredkrueger really swimpractice russell quentinsmith body jessebraun parent katiecassidy britton give blood nightmare believe jailcell ownthroat kid connection dekker help secretroom look die last keep,Western
gothic american,American,horror,John Hough,tattletale doll dead throw remains attack murder dinkyfisherman'sboat claim terris pursue premarital enginetroubles vacation flees jeff revenge softlullaby force slowly later girl game middle-agedwoman apart turn craft however pink skull light eventually strictrules rule get neck woman birthday frightened presumably family lonely washtub camp smoke outside sewing room begin 'sroom bury welcome meet cussing bit desert needle filmends brother run dressing one boat trouble rope wicked lead robs upon jump overhears kill elderly agree pretend engine nestle wood freak decide discover insult cradle console try teddy large simplenames want statue miss terri fool sits crudely start pinkgown hold drown pa 'scorpse bludgeon radio plague ownshotgun jealous middleaged like prevent sex everything say enter tell metalwashtub baby 12 go spend upstairs take three swing tree catch leaf others climb knight demented top invite rob dinner axe cynthia fishermans morning woody cliff hollow sing save soft dinky owner confront stab corpse bathtub 'sbody leave knightstatue chop back name toy strict metal celebrate walk loss gun another friend reveals flashback child fire plane match learn play show lullaby bunch hollowtree hang send rape five rockycliff fanny night smoking sickle sew group gunpoint lie eye around married explains boy fannys watch traumatize finish scold reluctantly pass rock explain find become see chase push lynn fear horror six beating death paul end stay mourn two stumble largecottage set cottage film infant come kiss rocky premaritalsex simple accidentally mad talk mummified snap land lynns daughter demand body flee next gown island people meanwhile think couple help shotgun shoot sword break look 'sbirthday 'sdeath somewhere,Western
gang,Bollywood,crime,Mazhar Khan,gangu grover work minister 'smother displease attack police murder surrender jaavedjaffrey ask please patekar abdul indebted witness force later murad together deathbed crimebusiness apart court bear marriage forever jaffrey kumargaurav localgangster get chiefminister crime begin arrest meet till earlyhumiliation taxi release form chawla commitssuicide business subsequently team kill agree drive nanapatekar khanna weaken early word shatter statement dy testify start juhichawla well 'smen razamurad promise juhi divya process mukesh chief severely men go former embroil instead build murderspree jaaved include singh gangus gang injured addiction shroff war minister'smen friendshipkills join raza latter 'ssister finally deeply local gangster imtiaz garys ektaa order leave incident incidentshatters 'sdrugaddiction sanam handicapped friend gulshan trust child suicide criminalgoals gaurav learn fall propose also point disagree friendship lala five sohini imtiazkhan world girjasingh spree mother jail towards gary finish khan succeed tagdu money humiliation crimeworld result gangwar jackie even sentence year ministerorders commits drug nana sister criminal kumar jackieshroff decides sake gulshangrover goal four mukeshkhanna root tagdus sweetheart plan due give conscience nihal shatters help shoot retaliate look ektaasohini free girja seek,South Asian
relation intimate,British,drama,Charles Frank,husband crisis motherfears mistress father'smistress fear father tie well son love family fall familyties point middle-classfamily stretch shell middleclass lose break mother,Western
fury certain,American,action,Stephen Gyllenhaal,prostitution dr render addle throw arrive police rodney convinces along courtroom injure racial pursue burn warehouse refuse racialslur peterfonda hardened girl support together sleep court turn prosecution light girlsrejoice eventually partways nicholascampbell get weapon inject tracy inadvertently crime facing policeofficerlights outside begin hand shower tracyfreeman street arrest new incline bailiff criminalassociates face act town whiteofficer oneal shooting ruse encounter release food doctor bully run one avoid pledge arrangement abandon make argue irene upon bailiff'sthroat trail drugden sewergas kill throat tracys newspaper newspaperheadline insult insist waitress wait try yet clean slams pull den way handrefuses want father door concealed proclaim suggest defendant scarlett defendantdisarms restrain georgemurdock drown capture lone yard negotiate casualboyfriend sewer produce employment u ditch criminaldefendants enter tell escape derelict rescue judgeorders know casual junk go return toward mountain nicholas freeman cara deal take bathe seven fonda high sniffer read moment backup mosesgunn lonepoliceofficermanages slash assist others broken publish scene pornography man racialslurs derelictsection successfully save rejoice wall cut streetkid client confront 'sdrugs order policeofficer unsuccessfully implying shootout leave gas back gunn henchman drugpossession emerge consume gun another recovers hail 'sfather fire apartment show disarm sell also point unconscious attempt front rape send resist urge allow campbell stick lt judge place sniffers steal slice defendantslashes lie seriously jail 'shenchman refuge bottle murdock slur 'sapartment cab house reluctantly speier illiterate junkyard girlsend white find freedom become even exhaust unwilling headline use end drug officer george possession call peter death girls part bring two accuse knife boyfriend set criminal apprehension tatumo'neal come 'shenchmen tatum admit briefly charge four 'sapprehension policeofficers daughter suspect angry spark flee wasnt continue blame associate rodneys falsely give threaten people meanwhile manage 'shenchmenshow explosion moses cigarette gunwielding fight kid help shoot doctor'sdaughter section irenecara seat convince seek involve,Western
witch,American,horror,Robert Eggers,appear peekaboo violent throw enrage soon woodpile alongside awaken young raven force rain lord later mercy expel human bed puritan ointment6 breastfeed goathouse samuel trade cup eventually search far devastate woman crush overjoy family goatresponds outside begin serve hand new mysterious peck resign luxuriouslife stable silver kneel vision dance eviscerate beset hunting jonas remember make upon offer laughing kill inside wood horse gore discover greatdistress edge insist early suddenly newtestament try word blackphillip transform large want miss father smallapple door suggest hare pray dark great birth illness wife near luxurious tragedy unknownillness forest fraternaltwinsmercy thomasin cry testament silvercup son'smysteriousailment spend hovel witchcraft return build exposed bloodstained incarnate take billhook 'ssilvercup recite prayer tree 1630s witch stop farm awakens imply difference others lord's blackraven england axe viewer plantation join morning humantongue man confides suffers settlement destroy oldwoman follow lure fraternal corpse wanders sign commotionawakens leave grab katherine name reveal book desperation overhear bloody another child interpretation contemplate fall play fifth day sell discuss violentseizure speak unconscious distress send familyleaves urge abruptly night secluded hunt retire unknown small world twin lie lose eye around katherines bloodybreast dog towards drink quote family'sgoat breast reluctantly house knock unhinged seizure white tongue find disappear caleb kidnap become chase guide away apple mosscovered naked use levitate cause pick phillip death claiming responsible sight delirious hideous life stumble accuse conversation board live youngwoman nearsdeath infant mouth coven bonfire son selfdefense disappearance respond commotion job convince nearbybillhook fly admit black strangle question whitegoat'sblood daughter body pulp reunites parent blame disemboweled banish due give next threaten meanwhile foot william blood supply implore 'sreturn old nearby prepare goat die confronts ailment seductive retaliation,Western
loveguru love guru,Kannada,romance,Shashank,rise raj marry dilipraj weddingreception ignore wed sharan lifeafresh finally everyone bos pandit 1 much try afresh later want interview kushis announces kushi fool incident quit reception select start life heartbroken radhikapandit another decides dilip love shock job tarun woman 3 womanenters radhika propose april enter know front attend continue pine give think pratham dismay 'sdismay abhi,South Asian
car hot hotcars,American,crime,Hot Cars,work police karen murder ask pride refuse activity smileyward carlot karenwinter nickdunn method track new nick lot arthur promote markel customer racket offer used dilemma hotcar discover roller markels try investigate cant financialdilemma rollercoaster wife appal solace ill beautiful can't deal disreputable implicate dunn car amusementpark carsalesman arthurmarkel salesman cop amusement criminalactivity order henchman back ward fire detective fall close jane winter sympathetic struggle newline company explain alibi swallow hot-carracket even becomes davenport death park sale quit smiley criminal manager come son job disreputablesalesmethods suspect continue line give coaster convince financial 'sdeath seek,Western
tawny pipit tawnypipit,British,comedy,"Bernard Miles, Charles Saunders",minister countys rarely protect arrive publicschool intervenes london fighter lipsbury fag unfortunately bernardmiles mile agriculture locate john site ministry get lea serve reverend bartonbarringtons bartonbarrington release pipit pinfold ornithologist lead jimmy rosamundjohn walking discover villager rescind personally countryside nest hatch egg foil army fictional great village enlist locally delegation nesting alertarmycorporal fails lipsburylea corporal colonel pair bancroft plot alert england niall war executive fortunately save local broome order girlfriend tawnypipits eggshatch county'swar fictionalvillage pilot agricultural reverendmr.kingsley field worldwar bernard jimmybancroft unscrupulous known keenbirdwatchers macginnis unscrupulousdealer hazel duly tawny school retire steal world professional plough hazelbroome tour colonelbarton-barrington mr behalf hospital 'sfag see public nurse professionalornithologist greatenthusiasm keen enthusiasm marlborough ag dealer second fiery rosamund birdwatchers due executivecommittee kingsley fighterpilot nearby niallmacginnis committee staying,Western
